Input_Size,Time_Taken
4081,14053000
4091,26745000
4101,22518000
4111,20810000
4121,23606000
4131,19815000
4141,18179000
4151,17873000
4161,17121000
4171,26409000
4181,8510000
4191,30617000
4201,16000000
4211,17449000
4221,16662000
4231,32197000
4241,17831000
4251,17176000
4261,24712000
4271,24893000
4281,16364000
4291,17327000
4301,28169000
4311,24331000
4321,16197000
4331,14043000
4341,32120000
4351,18570000
4361,27100000
4371,22805000
4381,15762000
4391,19157000
4401,30386000
4411,19855000
4421,13694000
4431,33433000
4441,18600000
4451,26713000
4461,23393000
4471,23372000
4481,21683000
4491,18564000
4501,18128000
4511,28490000
4521,22403000
4531,22708000
4541,21787000
4551,20965000
4561,24104000
4571,23166000
4581,18307000
4591,22559000
4601,24077000
4611,32815000
4621,20527000
4631,20155000
4641,29966000
4651,23946000
4661,15966000
4671,37845000
4681,33675000
4691,72734000
4701,33030000
4711,18830000
4721,35633000
4731,24615000
4741,20004000
4751,32645000
4761,28192000
4771,15098000
4781,40543000
4791,31815000
4801,25328000
4811,25839000
4821,22055000
4831,33883000
4841,36101000
4851,18138000
4861,38632000
4871,28004000
4881,27396000
4891,31719000
4901,24750000
4911,33201000
4921,16247000
4931,38607000
4941,34518000
4951,26462000
4961,32143000
4971,30971000
4981,19425000
4991,33230000
5001,33537000
5011,33189000
5021,29967000
5031,28846000
5041,24424000
5051,33409000
5061,33460000
5071,32751000
5081,31169000
5091,33054000
5101,33816000
5111,24101000
5121,32774000
5131,34085000
5141,34350000
5151,37759000
5161,40635000
5171,31506000
5181,42249000
5191,41144000
5201,35265000
5211,31271000
5221,21854000
5231,35570000
5241,33849000
5251,31672000
5261,31459000
5271,31805000
5281,31584000
5291,34907000
5301,31623000
5311,32278000
5321,35163000
5331,28970000
5341,32280000
5351,24028000
5361,40856000
5371,25965000
5381,35029000
5391,32305000
5401,33692000
5411,33603000
5421,27687000
5431,34252000
5441,41208000
5451,50298000
5461,42307000
5471,32079000
5481,35897000
5491,36767000
5501,33408000
5511,39007000
5521,34101000
5531,37815000
5541,30845000
5551,34558000
5561,24087000
5571,43361000
5581,30194000
5591,35797000
5601,43874000
5611,33059000
5621,37020000
5631,35797000
5641,38099000
5651,28365000
5661,36470000
5671,35804000
5681,21941000
5691,46567000
5701,31774000
5711,31888000
5721,47959000
5731,32300000
5741,32245000
5751,50205000
5761,33320000
5771,29059000
5781,53444000
5791,25199000
5801,41848000
5811,40522000
5821,38250000
5831,32143000
5841,42291000
5851,21195000
5861,47600000
5871,44361000
5881,52957000
5891,43122000
5901,40704000
5911,37513000
5921,38635000
5931,41784000
5941,35239000
5951,39487000
5961,38099000
5971,36670000
5981,40432000
5991,44308000
6001,38975000
6011,39726000
6021,33281000
6031,45088000
6041,41793000
6051,39694000
6061,41422000
6071,42026000
6081,41351000
6091,49495000
6101,34687000
6111,44315000
6121,35960000
6131,32429000
6141,49650000
6151,44642000
6161,43067000
6171,44256000
6181,40680000
6191,45176000
6201,40568000
6211,40400000
6221,50449000
6231,40958000
6241,42602000
6251,41505000
6261,49561000
6271,41878000
6281,42122000
6291,42015000
6301,50419000
6311,39260000
6321,52574000
6331,44527000
6341,33707000
6351,47407000
6361,40204000
6371,40876000
6381,55633000
6391,44554000
6401,43236000
6411,47019000
6421,43160000
6431,49724000
6441,34324000
6451,59100000
6461,47636000
6471,49053000
6481,43372000
6491,49851000
6501,49940000
6511,44541000
6521,47831000
6531,40989000
6541,62220000
6551,38426000
6561,49546000
6571,53599000
6581,45583000
6591,45016000
6601,41575000
6611,47424000
6621,51216000
6631,57361000
6641,42966000
6651,48100000
6661,58433000
6671,43184000
6681,50076000
6691,49303000
6701,51047000
6711,49446000
6721,50930000
6731,51587000
6741,80259000
6751,48937000
6761,49777000
6771,55474000
6781,49214000
6791,44729000
6801,49747000
6811,40717000
6821,48483000
6831,47801000
6841,63479000
6851,51855000
6861,57517000
6871,44376000
6881,57594000
6891,50811000
6901,50080000
6911,58405000
6921,50073000
6931,57028000
6941,51080000
6951,65553000
6961,51863000
6971,57531000
6981,42226000
6991,65620000
7001,58858000
7011,53241000
7021,53824000
7031,55144000
7041,61654000
7051,51911000
7061,58483000
7071,56041000
7081,58097000
7091,64329000
7101,60491000
7111,54419000
7121,54590000
7131,56966000
7141,55268000
7151,46357000
7161,62731000
