Input_Size,Time_Taken
3941,0.001015
3951,0.002006
3961,0
3971,0.001899
3981,0.001325
3991,0.001092
4001,0.001005
4011,0.001
4021,0.001012
4031,0.000987
4041,0.000914
4051,0.001078
4061,0.001597
4071,0.001105
4081,0.000993
4091,0.001
4101,0.000932
4111,0.002061
4121,0.001
4131,0.001009
4141,0
4151,0.002198
4161,0.001005
4171,0.000655
4181,0.002133
4191,0.00088
4201,0.000993
4211,0.001089
4221,0.00091
4231,0.001594
4241,0.0006
4251,0.001005
4261,0.000999
4271,0.001
4281,0.000912
4291,0.001088
4301,0.002004
4311,0.001001
4321,0.001179
4331,0.000841
4341,0.001209
4351,0.002046
4361,0
4371,0.001594
4381,0.001098
4391,0.001917
4401,0.001146
4411,0.001009
4421,0.001082
4431,0.001914
4441,0.001999
4451,0.001
4461,0.002061
4471,0.001677
4481,0.000482
4491,0.001996
4501,0.00109
4511,0.001002
4521,0.001605
4531,0.001006
4541,0.001085
4551,0.001005
4561,0.001003
4571,0.001008
4581,0.001002
4591,0.000924
4601,0.001069
4611,0.001598
4621,0.001205
4631,0.001092
4641,0.001009
4651,0.001094
4661,0.001016
4671,0.000989
4681,0.001014
4691,0.002276
4701,0.001043
4711,0.001011
4721,0.001988
4731,0.000999
4741,0.000998
4751,0.002003
4761,0.000557
4771,0.002093
4781,0.001013
4791,0.001917
4801,0.001072
4811,0.001011
4821,0.001991
4831,0.00118
4841,0.000908
4851,0.001098
4861,0.001
4871,0.001914
4881,0.000996
4891,0.002511
4901,0.003014
4911,0.001998
4921,0.002
4931,0.001
4941,0.001503
4951,0.002103
4961,0.001005
4971,0.002
4981,0.001
4991,0.001999
5001,0.000507
5011,0.002041
5021,0.002005
5031,0.001
5041,0.001999
5051,0.002162
5061,0.00295
5071,0.002014
5081,0.00251
5091,0.002214
5101,0.001
5111,0.003083
5121,0.002372
5131,0.002012
5141,0.001994
5151,0.002505
5161,0.002514
5171,0.003003
5181,0.002282
5191,0.002512
5201,0.002514
5211,0.002106
5221,0.002507
5231,0.003052
5241,0.002005
5251,0.002749
5261,0.002999
5271,0.002014
5281,0.003054
5291,0.001999
5301,0.002001
5311,0.002011
5321,0.001403
5331,0.002107
5341,0.000991
5351,0.001918
5361,0.002002
5371,0.001557
5381,0.000991
5391,0.000993
5401,0.003139
5411,0.002512
5421,0.002591
5431,0.002109
5441,0.001
5451,0.002003
5461,0.002511
5471,0.002205
5481,0.002018
5491,0.00201
5501,0.00114
5511,0.002007
5521,0.002175
5531,0.001602
5541,0.002001
5551,0.002013
5561,0.001994
5571,0.001087
5581,0.002526
5591,0.001997
5601,0.000999
5611,0.001991
5621,0.002529
5631,0.001512
5641,0.002998
5651,0.001
5661,0.002
5671,0.001502
5681,0.001505
5691,0.002
5701,0.002
5711,0.002
5721,0.002512
5731,0.002116
5741,0.002013
5751,0.001989
5761,0.001998
5771,0.001505
5781,0.003218
5791,0.002034
5801,0.002073
5811,0.001941
5821,0.001158
5831,0.002106
5841,0.002004
5851,0.002895
5861,0.001027
5871,0.001656
5881,0.001651
5891,0.001971
5901,0.002089
5911,0.001012
5921,0.003253
5931,0.002091
5941,0.00191
5951,0.002
5961,0.001998
5971,0.002164
5981,0.001685
5991,0.001911
6001,0.001506
6011,0.001911
6021,0.002026
6031,0.002146
6041,0.001398
6051,0.002111
6061,0.001506
6071,0.002679
